Depmap ID,Expression Public 24Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000001,3.4046306842176115,NIHOVCAR3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000002,3.0426443374084937,HL60,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000003,0.4005379295837288,CACO2,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000004,6.217230716220669,HEL,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000005,5.238786859587116,HEL9217,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000006,7.59238228429307,MONOMAC6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000007,5.845991770664573,LS513,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000008,3.701549056943071,A101D,Melanoma,Skin,Melanoma
ACH-000009,0.2016338611696504,C2BBE1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000011,0.2387868595871165,253J,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000012,3.4154882710497003,HCC827,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000013,3.442280035252584,ONCODG1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000014,4.5855634984556914,HS294T,Melanoma,Skin,Melanoma
ACH-000015,0.1505596765753814,NCIH1581,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000016,3.145677455195635,SLR21,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000017,3.3757345385831563,SKBR3,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000018,4.742545233866053,T24,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000019,1.3950627995175775,MCF7,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000020,1.933572638261024,MHHCALL2,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000021,3.241840183564671,NCIH1693,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000022,1.0071955014042038,PATU8988S,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000023,0.3448284969974411,PATU8988T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
