Gene,MeanDiff,PValue
IFI44,0.23747235582419346,0.012758564667618183
PROCR,0.1718280362998127,0.026608025949535798
IFIT3,0.1464731750238189,0.045959902273376686
IFIT2,0.1410382461662738,0.07770039530103617
NMI,0.1402849574918209,0.02469733677119572
LY6E,0.1247775951599639,0.02662563502160225
MVB12A,0.1213809963284449,0.012093767565298019
LGALS3BP,0.11800492785760663,0.0985032454621059
CNP,0.11562093154597836,0.14161350337357462
PLSCR1,0.1128231162241149,0.05014556064288776
CSF1,0.10934444328313764,0.18192559523457816
MX1,0.10673958444696807,0.16711081078360168
DDX60,0.10339157172646452,0.16912417054160095
HELZ2,0.10269117145383422,0.12432961978456417
IFITM3,0.09946261292938885,
EIF2AK2,0.09804413294941605,0.15836303441992994
HERC6,0.0949648225145126,0.16110814277043972
USP18,0.09168288732517593,0.17645581941001756
IL7,0.09152579645222358,0.4016617634530132
TRAFD1,0.0909724919456179,0.14076580720489318
SAMD9,0.08754923997229769,0.19053009062492957
PSMB8,0.08540887803227948,0.13680740041791456
MOV10,0.08144088561139828,0.08227291615392016
IFI44L,0.07655401874247134,0.3914066969323011
PNPT1,0.07562747316125507,0.27623870797877587
SAMD9L,0.07260069142080972,0.3582141881170149
TDRD7,0.07138944221398424,0.205026233301904
TRIM21,0.07034654531744178,0.31153785604566575
OASL,0.06551011244504512,0.4707669809325866
TRIM5,0.06394688636656676,0.27890092024236623
BATF2,0.06015662458691717,0.5117612018765125
IFI35,0.05678294369736603,0.34417367225966644
CD47,0.0556728560458547,0.2595877187266855
CASP8,0.05187470304365349,0.3072584079382376
CMPK2,0.04827692976280251,0.5389055950856101
IFI27,0.04662030523974159,0.5721374951526965
OAS1,0.043404767878205575,0.5816407328110994
LAMP3,0.04302973936066384,0.6354965564259192
PSMA3,0.0411413881956213,0.6068881281135634
WARS1,0.03895667431794014,0.4756799998022887
IFIH1,0.038333946728607904,0.5558897550432254
IRF7,0.03704802618502079,0.6116023190950972
SP110,0.03326541260963389,0.5617444969130498
RNF31,0.03177230528532171,0.665080625363596
OGFR,0.031361607089298804,0.5828894627891812
GBP2,0.02910478509487935,0.7478397227149105
PARP12,0.027990546233000124,0.6899625549916675
RIPK2,0.02755493311177243,0.7146957936458431
TAP1,0.027248694814469676,0.6005462557394626
GBP4,0.02501501307653642,0.7144903308722437
RTP4,0.02436053600434457,0.7860913664260569
PARP14,0.02319544980997046,0.6387341221491369
IFITM1,0.022866739595532537,
LPAR6,0.02202441437146191,0.841300493828257
RSAD2,0.019723055363310815,0.786456140541886
TENT5A,0.017612773932929815,0.824957491866723
HLA-C,0.016951968903170744,0.7846021390167466
TRIM25,0.00702393423119585,0.9015931930192562
CASP1,0.001357136717644536,0.9886630212975609
NCOA7,-0.0009654016213321848,0.9882495177861028
PSME2,-0.0030535105451517386,0.9654366256867102
IRF2,-0.008476155239912964,0.8743424004670175
TRIM26,-0.012718139210658452,0.8148226547695145
BST2,-0.01371484861027461,0.8844044784972237
SLC25A28,-0.01633213909209219,0.8372685661602274
PSMB9,-0.01673401312874434,0.8175477667110078
PARP9,-0.0175789552847051,0.7885503752754723
ISG15,-0.02344607678439825,0.740352217994611
CD74,-0.02357800443759034,0.804900773251209
GMPR,-0.024650376684253072,0.7936856119941774
ADAR,-0.026629987039697822,0.6930993675870789
NUB1,-0.027769302605965773,0.7043458689462889
UBE2L6,-0.029149616405408696,0.5949006163635535
UBA7,-0.030396958818101005,0.691790924292629
IL4R,-0.033274729629778954,0.6442086859571727
CXCL11,-0.03566501006947903,0.5428393181332363
IRF1,-0.037116060424988384,0.5918029508697207
TRIM14,-0.03860504775274465,0.607777449740778
CMTR1,-0.04844104302489005,0.39832584316704145
CCRL2,-0.04877686821305588,0.5948660739526417
IFITM2,-0.050981621409294076,0.5481639340329436
IFI30,-0.051018779652395985,0.4198402433239843
LAP3,-0.05287899377675587,0.36775710380935434
CXCL10,-0.053197967092007525,0.3910281739219159
PSME1,-0.05640461783182149,0.4018522987766283
IL15,-0.05688709813733933,0.5408944799863042
TXNIP,-0.05913278535357369,0.4500432537347985
B2M,-0.06906927266948615,0.41702416204231263
C1S,-0.07608427905741438,0.3754560463679959
TMEM140,-0.08654376534778596,0.16121613626352
STAT2,-0.09568941538081654,0.20665935114259568
SELL,-0.09827960625842297,0.10629263249171532
ELF1,-0.10067026901928144,0.12904522651318387
ISG20,-0.11814819552120281,0.11132519391889287
EPSTI1,-0.1665803436884397,0.05185141177435967
