CellLine,Response,RELA,IRF3,DDX41,FADD,IKBKG,DDX19A,TRAF3,IKBKB,POLR3C,TRIM25,POLR3E,TYK2,CXCL8,IFNGR2,STING1,CGAS,TBK1,STAT1,NFKB1,IFNAR1,MAP3K7,IKBKE,TRIM4,JAK1,RIPK1,ZBP1,TRAM1,TLR3,TICAM1,IFNGR1,IFI16,JAK2,TRAF6,RIGI,POLR3F,POLR3A,AIM2,DHX58,CHUK,TLR7,IFIH1,TLR9,IRF7,IFNAR2,TLR4,TLR8,IFNB1,MAVS,STAT2,PRKDC
MDST8,Responder,0.9999999999999991,0.7446408588059148,0.7031223131693043,0.7692074555417416,0.827424010994767,0.7135856023715133,0.8775766925559898,0.712464868642356,0.6267652045968566,0.8395105432036343,0.2327677834114672,0.45314749858120207,0.9984342727906165,0.7931939349740542,0.49846552039328945,0.7194953513571436,0.4290316022352667,0.6823302576203358,0.5307963811743024,0.6878655618338803,0.07604160489946432,1.0,0.6954322750615243,0.4274408651212456,0.5791418754635727,0.0,0.3639499905493362,0.33171722967546224,1.0,0.24093660160997632,0.8653760290629013,0.6826013270697491,0.6043138032536022,0.40079547614605704,0.8032280079749983,1.0,0.0821720470786858,0.6197791678247532,0.43576770081926774,0.0,0.3483902380067986,0.0,0.6744232092166002,0.7497592451213122,0.12096672920147232,0.0,0.0,1.0,0.6905953217861938,0.6392188296138448
THP1,Responder,0.5027404051578603,0.9270522885815078,0.9755985219486751,0.5237016787627826,0.6280391761169706,0.6945629387900873,0.865414875067017,1.0,0.7957879778980499,0.9537452113399998,0.9773027610908454,0.8115903704375693,0.5727400104030872,0.652861348037582,1.0,0.9829464243877494,0.6307649688029189,0.7068880398565687,0.535081265352364,0.5570170671473824,0.8600260350326359,0.9355324024848812,0.7413212947541046,0.443131553822977,0.21100743272223976,0.0,0.5830398000232742,0.0,0.771793490061619,0.7805576882391383,0.7021206549037067,1.0,0.5072275868540961,0.3263842983881179,0.3694261898579012,0.20415540905664287,0.07552441120243267,0.7452108783008955,0.26653129102386286,0.10990416713075056,0.6985050437115855,0.5880017188869187,0.7087840273474242,0.8393514398628747,0.6737572806093267,1.0,0.1642537280998102,0.3542109654980421,0.8321658262846316,1.0
MDAMB468,Responder,0.8910947213498126,0.9531324284591625,0.9057240090147891,0.6651846270587625,0.9586002719140732,0.619929381818459,0.394439574525399,0.6139967130307769,0.9769645536460576,0.7604450476797524,0.6156018100295801,1.0,0.7128890882926823,0.5275279974763927,0.8494769531256522,0.4255018233684633,0.5351824092282444,0.9376452193758842,0.4685176098236892,0.8381611277528127,0.7513046293479331,0.8973176205936699,0.8885808496605339,0.6873694075196846,0.7921833846716733,0.02639877105713382,0.6621218352724711,0.7051457357620138,0.8981145377402301,0.9999999999999998,0.508213189373958,0.7454022902191242,0.8138991820422907,0.6969249785196149,0.7503101270069172,0.5402843001564359,0.06178752306838272,0.8156562903481317,0.602134517228436,0.3034156491039327,0.9156956966925538,0.04790048244172893,0.9171257752178031,0.736867127045779,0.04055062426159374,0.0,0.26721344709368233,0.75937019754079,0.600795040168165,0.565944768228225
A549,Responder,0.5171542841304584,0.5691804143403498,0.48252254786516247,0.47403330015063605,0.5336999182079998,0.704877628518275,0.7364918573796633,0.4790992408534671,0.5961598949382441,0.545865471681807,0.6003085017722629,0.054180560773453124,0.5261897540027294,0.4172888991933492,0.18080779036602834,0.8022383065119796,0.973715923757795,0.9602289240249873,0.5207662309479484,0.6332751399974175,0.402225445607709,0.6686400177415317,0.64864438296996,1.0,0.49569704244430346,0.0,1.0,0.14336103622394536,0.6319678418651613,0.6496518099625084,0.3630095124199043,0.6717724390973467,0.49360793763219935,0.5200181689933225,0.91282434106343,0.5179439559611176,0.008400855064711414,0.18108606702769509,0.7746034774987223,0.0,0.2947314628739283,0.0,0.29918060302678795,0.6681827857363172,0.0,0.0,0.0,0.5448924997569313,0.09075682367677596,0.8023823829382222
OVISE,Responder,0.5793208799978675,1.0,0.730997020907517,0.5704996124966109,0.40651740171495687,0.6893027987121343,0.6433450588028355,0.6447334374918858,0.42379205227617245,0.9099097564210417,0.5907329229296119,0.5994662307265948,0.11810005493505839,0.3663652441759191,0.4386125402793701,0.304914836553273,0.3933242626771767,0.9456669503710675,0.19128941376736464,0.6215914626359402,0.4202492936875992,0.5340738596441399,0.26710893988787077,0.6174939013513172,0.5992132370870116,0.17457546319038417,0.8249029107228472,0.9487405635059869,0.8238355797490073,0.5757271635051839,0.06818623390692714,0.42312685447687953,0.42747642515528206,0.7569311392336358,0.4074821236156234,0.36964902042433634,0.039988030512969924,0.6503153475239568,0.29955915183836623,0.010411498391486371,0.7718780792731263,0.33126055302830487,0.6165502611451054,0.16230375738693836,0.00851904714573847,0.0,0.11086827401830768,0.7339204741220122,0.8569947277076375,0.5689377416491794
A375,Responder,0.6300903857215676,0.5978841574627838,0.6368042482287386,0.5795484717789126,0.6762976664895262,0.9762045609759555,0.5657299903696997,0.46980353573061606,0.8580014678393288,0.8784677692042488,0.9840397441874131,0.6634789466873467,0.7414908852740852,0.7152492245136148,0.7833566251818331,0.009471180025639049,0.8787059355524871,0.5776234428726739,0.86196779851144,0.5780660922127003,0.5725635980037942,0.724755693560597,0.69103702945408,0.3824612945920447,0.5841463805089613,0.050930714938784205,0.5888686048135696,0.686869832951593,0.8420708373574594,0.40610209239787953,0.906620936298796,0.6230474603724978,0.3722288386901851,0.1585306283736347,0.9040650640947159,0.7167169559953948,0.909826029750196,0.7466646972097263,0.8220208592114449,0.0,0.3751384234727752,0.07401345167262086,0.5815534935384317,0.4254963465691861,1.0,0.0,0.0,0.7493288484247618,0.5251111692516699,0.8428093577430591
NUGC3,Responder,0.667580372955074,0.47447421495626063,0.49903694467585424,0.6324194266028378,0.47732213456982775,0.5127248918979745,0.5862107644300103,0.4916680711740584,0.3989023708483068,0.6492626107966042,0.5753923095484463,0.31510701536112595,0.937139038133669,0.8146909654007439,0.6455996908104673,0.9829464243877494,0.7958530846582716,0.8038080306850588,0.6794049535881959,0.3531165694437082,0.667219940891957,0.936406189066376,0.4285315162081147,0.4681271460498211,0.43529236166262475,0.19545057048640835,0.7099940484811746,0.398801649534466,0.7353067645395253,0.9956660402014468,0.7927810977065751,0.7568554811788262,0.48947416864073867,0.7332617971944918,0.9831899520692309,0.26743434987584314,0.39373747375429596,0.6669822196640545,0.5725661289767188,0.04955868327181957,0.8306207903076134,0.010063136527621697,0.8696741019333655,0.3133025997674055,0.405468027393534,0.0,0.1642537280998102,0.3616678187848281,0.3067795702258884,0.6369487265919833
HS294T,Responder,0.6958664523981408,0.823364496213081,0.6105597601613084,0.5699517631751074,0.828565334544757,0.8370179055687217,0.617988967755728,0.5682136957424424,0.5587592041690148,0.6723086109455862,0.5865317943033954,0.6550503348271199,0.8912109725324678,1.0,0.7701990742669131,0.673262460000296,0.871864370372192,0.7680416911598293,0.9301258998964963,0.8784595816639693,0.4821852513151863,0.7962862473430543,1.0000000000000002,0.44145412022049557,0.8903256076160746,0.11535933912186624,0.5745192810193473,0.7472278130116097,0.9449521550827277,0.5267533893658138,0.9818393504241739,0.5947097346367518,0.33970202803621863,0.5925052099824396,0.4922277814108633,0.477964182811875,0.7661769944656094,0.8252260392177164,0.6272654615817457,0.3740681145273092,0.7251334994805215,0.09046846484601619,0.8199621457846759,0.845507858397128,0.5579735052336947,0.0,0.0,0.5399296710060968,0.9957267797309663,0.4698309308145676
SKUT1,Responder,0.8527364825740724,0.7842607938133668,1.0,0.6123385322077721,0.40024026403052737,0.8681381195434206,0.9873800672914572,0.597241144764634,0.6709224510340355,0.9648243781775334,0.8198352866740279,0.7143218150279882,0.7167912956415058,0.6706141946644806,0.4276851796964996,0.8522824261852402,0.8169646162996829,0.7368588914534671,0.7276616876391708,0.5661993079117003,0.6236073460298903,0.7641836994582036,0.6873294191084718,0.814695595884634,0.7195757816883224,0.0,0.5472338764161475,0.5493342810304052,0.9282646487367056,0.5819538647233029,0.8485264808001294,0.7961732709108869,0.5856366388493346,0.692624377820006,0.8331187632201531,0.7669294495452093,0.07552441120243267,0.7372599234576639,0.7458496303988524,0.010411498391486371,0.9042336213609542,0.03878289549901517,0.7803815522704959,0.5980934588227744,0.00851904714573847,0.0,0.1642537280998102,0.6463112870936016,0.715663340747557,0.0
NCIH2170,Responder,0.40236580277658174,0.7834263496546496,0.5533710202549527,0.4332781781762518,0.9072208806553044,0.8217990342663319,0.4495303893108691,0.5950583229995767,0.6841252884962001,0.7699388239618172,0.9472767504440354,0.2807623915532327,0.9108150078378247,0.41194649704849695,0.5789265491197894,0.7891034751364293,0.5624618839529845,0.7347902681867209,0.6070576980391227,0.34043947310581935,0.48709959587205853,0.6609799776729606,0.6560905459847695,0.3473527063917028,0.6248309132017269,0.13430655172906236,0.4712824961144868,0.7688421893330074,0.7086231133736991,0.5378266035289994,0.4473381065219926,0.5913640540624618,0.44254318687378813,0.2730259397955026,0.8792897059993852,0.4130917962217806,0.0,0.4780805957711683,0.7043765314557251,0.0,0.6912188975743535,0.01987416378449278,0.7306202789826756,0.016544733857189353,0.016824668710147796,0.17454807592494453,0.5046794752889142,0.7526132829562231,0.0,0.8074923058458809
TE11,Responder,0.7459584565803716,0.7047987108348055,0.6650878532883961,0.9999999999999998,0.8338411375937569,0.4728274205128331,0.7021619062559905,0.461923284314965,0.4204466613158986,0.6242914041767658,0.6633389393913331,0.24789062027208253,0.8612069919623321,0.5652855740437137,0.7076271100458078,0.8938762544865552,0.4217096545397845,0.712306419672059,0.5278083194043806,0.3874900978831435,0.19352707714296669,0.841272970661755,0.17196947683572694,0.392535429490803,0.510710805736923,0.0,0.48872567707589054,0.7898062675424796,0.9405397958642164,0.4759922027745003,0.8874866862180819,0.48833841300149766,0.4137722627913871,0.6263140075296187,0.36052308600612903,0.23227976210912438,0.0,0.5337604561278274,0.43858317263058666,0.0,0.6580791696876424,0.0,0.9070634215421117,0.3596875565512665,0.0,0.0,0.26721344709368233,0.2820434450263454,0.636642519774425,0.5113319297438625
