,CAL27,COLO201,SCC25,PANC0403,ASPC1,SKLMS1,SKMEL24,LI7,LMSU,SW1573,MKN45,CHAGOK1,SUM159PT,WILL1,LS411N,KMS26,HUH1,HCT116,COV434,SUDHL10,HUH7,HEPG2,SW620,G401,SUDHL4,TE5,MDAMB468,HCC15,OVISE,SUIT2,HS294T,A2058,THP1,SKUT1,TE11,HARA,SKHEP1,PANC1,A375,NUGC3,MDST8,NCIH2170,A549
MVB12A,0.6681976458445711,0.6700121231752079,0.5604791983131061,0.6355088158642863,0.6705283358987522,0.8700251395563614,0.8327576907630785,0.6137460019151473,0.476873429614314,0.6702703517096633,0.8615196356875592,0.6916066878564469,0.5100697896326956,0.0,0.6346289520423551,0.6265826712975298,0.5434060793527957,0.851109361990382,0.7347934150226025,0.6501937537382065,0.6859414134684572,0.5893004775190656,0.6083137478957423,0.6671553598942779,0.7682423221524444,0.6537805407544239,0.92397865267313,0.652406526587513,0.7723982848806672,0.7412034555272105,1.0000000000000002,0.8944136713701922,0.6493593655303698,0.8287212992896074,0.6408739658899443,0.7394164355373414,0.8598563817995524,0.6559647962869042,0.9720307563416586,0.7769192655431783,0.8018557495968068,0.7200942212556878,0.487293493195456
IFI44,1.0,0.44949065771686925,0.879181718501547,0.829059478731085,0.7870451882054617,0.7489056498376176,0.7616607760314916,0.282229216610929,0.8468174699671116,0.2316165514458428,0.16544876807555076,0.5032912408185483,0.60875359190008,0.17844085237942978,0.1995368296082167,0.0961201613646737,0.07279327688005423,0.1752608760103877,0.03041003671744707,0.07279327688005423,0.05769732559278269,0.036098596463048596,0.0,0.0961201613646737,0.04712068227412145,0.9003163280800205,0.7882568155687474,0.8609180512798447,0.3665975917719408,0.809103699806823,0.7614550464393943,0.7778222373906373,0.36277641630586166,0.5670432134795479,0.8384274778647821,0.8332549385323675,0.4269471040221118,0.431358556152683,0.7420894008255221,0.15520384974665455,0.7720027359796936,0.4260507753461869,0.04712068227412145
NMI,1.0,0.8805944763955686,0.8694228386993447,0.9216460398377385,0.9201645491134625,0.7342760097310946,0.7634177239801007,0.8394319663875743,0.8235011579776168,0.7695489803455166,0.854101774313514,0.6767631305130194,0.7676337426627639,0.9589920337447858,0.8591052753862162,0.722445680870927,0.7916373220671317,0.6889856458186017,0.3129948182587024,0.7760503727036389,0.6559755961690937,0.31123559377325294,0.3232507660915343,0.01218695106758301,0.0,0.871763392045377,0.9213477206358182,0.8975508735036163,0.9484509241943284,0.8866026929123333,0.663273603506404,0.7388411810476924,0.9580852115611965,0.8336124827664582,0.8798784941187686,0.7397803345508224,0.8016224274153041,0.8769595795566283,0.6912618590966907,0.8720350606890958,0.6732194925473951,0.8573078202991342,0.8215570454600377
PROCR,0.7302223429781218,0.7309745260631588,0.725566557558718,0.8165882669001431,0.7616372554729712,0.7911974740600767,0.5797035975633079,0.6487967803505135,0.7382446197572845,0.8899360460028928,0.40614382547085415,0.6304774742007743,0.8237417772130912,0.0,0.6972603248366344,0.004804057822405186,0.8157723445850595,0.7993834796576087,0.19399391241317906,0.0,0.34425233243247966,0.1704623858071731,0.24043379087586716,1.0,0.009515738016504696,0.5556099431020071,0.34855498468682433,0.7444712313736788,0.5940705822070799,0.8862436659265905,0.859992634858604,0.774051983880218,0.5861923553536497,0.8026013436608311,0.7325554411171873,0.7857998848359492,0.8521392247252128,0.7770356426720475,0.7313643805417929,0.6690780074266528,0.8478087681119268,0.41299670167570757,0.8876962924686199
LY6E,0.977023246168131,0.898623077040035,0.9575899392687437,0.875933051190035,1.0,0.7498035659644708,0.8983827415383503,0.9055380170521949,0.7674245571562777,0.801185702339849,0.8409721244588084,0.9081332935855206,0.734076962573025,0.5665087452672586,0.8217083292932295,0.5412441421656896,0.7188633720587589,0.8614043284987758,0.7677352134406403,0.028973555934644124,0.5269955183928096,0.7271192101964075,0.682629782633484,0.7530942227523583,0.0,0.92373850957078,0.9189566008276171,0.8855017405688612,0.9673437261975886,0.8568312998299237,0.9409870138026368,0.9063997024564319,0.6194250763556437,0.8132604703569843,0.9035396329695948,0.8841434262654166,0.8184884006359565,0.804972349770201,0.8986587419604994,0.8910999235098067,0.835561417299298,0.7855376270411647,0.7754441967189867
IFIT3,1.0,0.7783482240220514,0.9313805290250126,0.7694944355938227,0.8575006997456998,0.7095389910275973,0.6894978619882026,0.7037953627527299,0.5771202448617667,0.47849182851452426,0.20888392226066543,0.4435489531638022,0.17212965264330787,0.5563396038983922,0.22200980563020956,0.044333026576788975,0.5191383583348225,0.26415077885973404,0.15554974707205138,0.0,0.2343733319003682,0.22621178723780266,0.4005402323441241,0.40545704411321554,0.015622419487924505,0.75844629344568,0.7498363675344053,0.7379297104287008,0.8713689726609883,0.528212539811483,0.8039973205845405,0.5353568196106908,0.270963432195722,0.6568174346895364,0.5766059570719007,0.4825418871221589,0.6744969645765881,0.7217802880205063,0.6112428411357103,0.5401510312065835,0.6126147583945349,0.37552857531012385,0.31031488218820935
PLSCR1,0.9999999999999999,0.9168987703108297,0.9441535281448433,0.8616244495680137,0.9144571393799931,0.7842593873627508,0.799559266128222,0.8290567297964991,0.9405081876336953,0.7440616980899588,0.8819585235925004,0.8160239909938046,0.8722428591156184,0.27124104311310143,0.8400685725180675,0.6650883035200927,0.6474867468037523,0.8198589906514413,0.701053276241702,0.5084067032548149,0.7159546245304506,0.7467709650073452,0.7272212589590566,0.0,0.036250422036053276,0.9947693711571842,0.9431989804849862,0.7817322976129008,0.9140262256877291,0.9090121621815103,0.7792736062451375,0.8710465183531165,0.8002455852370769,0.6775512011051448,0.8798382696148002,0.8741202484540463,0.7147379583494555,0.8336044323893423,0.7837930287339745,0.8273094864756456,0.7846393480311507,0.7815151915456133,0.8290300948371294
EPSTI1,0.9259547813155351,1.0,0.7185377770818437,0.6804456223015147,0.6900127962272824,0.40493890801111365,0.10947775236019522,0.6129020148058821,0.6478713316245314,0.028140152616646125,0.6203141340345872,0.16820099732817775,0.07170366968444103,0.6232652729801763,0.5239515598095499,0.4319522456546986,0.059912517761536124,0.18770692989744428,0.06586888172523546,0.6561417999110136,0.4106422553037514,0.028140152616646125,0.37709239286185425,0.007287129615651252,0.6190317609177666,0.4737678385550535,0.041267596313370264,0.7738949877567943,0.37206380192759425,0.6878829508077388,0.2323446451559488,0.3139669133638233,0.2415940915226593,0.028140152616646125,0.39455421122712975,0.07170366968444103,0.0,0.0476167639206207,0.028140152616646125,0.521634567311819,0.059912517761536124,0.37375345116155073,0.021350344146607258
IFIT2,1.0,0.5704402879195432,0.849251967815394,0.7268159893112764,0.8739047093876774,0.683575202917013,0.6722298074897877,0.5644767857670399,0.2766730560529242,0.2766730560529242,0.11802917171249468,0.5028967747942605,0.13409633224087514,0.35972848327011203,0.12214170172281295,0.0,0.343446996756902,0.14176388480094032,0.3007349395730749,0.052433934138810104,0.11384979269049612,0.006332231564967594,0.3136081277440211,0.42928326059755617,0.25436334254683907,0.7586095652414223,0.6568872390410487,0.796837361727228,0.812657845626143,0.3274083896307291,0.7077708359788544,0.32907025314066557,0.1668852745084668,0.6822805403084179,0.5284001199931226,0.5430539604713462,0.6438362199066836,0.7646529707425441,0.4632245536644225,0.6291094615984566,0.18654285793725905,0.30262286614131345,0.21329799787957848
MOV10,0.9891244429704449,0.8582428338659254,0.8524997835869146,0.851051316142984,0.865396574940865,0.8876876645062637,0.8583381545487796,0.9237088319878806,0.9047526476140337,0.8818791111698776,0.8135596400216649,0.8684407504584144,0.7317386205856815,0.843203950223778,0.8612143284150999,0.492512876053408,0.9216782822469312,0.9084165586282229,0.9562913104660502,0.42739455678093585,0.9265102533885936,0.8433101047034173,0.8325657944901708,0.9464600117283912,0.0,1.0,0.9880688585811572,0.9884679609824938,0.8548646470291659,0.9378738499141874,0.8499929632127587,0.9229768166990422,0.8855582745011616,0.969400038495841,0.8855192439687671,0.9053256115340753,0.9076258424482311,0.8553036182598064,0.8712019536571278,0.8538349593942338,0.8205098555678061,0.8169169342125087,0.7295989602046109
