Gene,MeanDiff,PValue
RELA,0.34905674110659507,3.697587909514232e-07
IRF3,0.3428594860755426,1.3454619490668328e-06
PRKDC,0.2989307505943169,
IKBKG,0.29105912206463025,0.00013506575091757603
DDX41,0.28004942977279956,3.936000373130711e-06
CGAS,0.2506150114109843,0.013050638137862081
TRAF3,0.2384104774527862,0.0025201978826838475
POLR3E,0.2155920624254083,0.003974605727175066
FADD,0.21392260018152687,8.467896779693484e-05
CXCL8,0.21097586577736016,0.009631098318782392
POLR3C,0.20872898686304958,0.0034927680447658207
TYK2,0.2016688697456238,0.00692173334867315
DDX19A,0.1904639481810224,0.0021284832932543687
STING1,0.1890329528860878,0.011605698465285122
NFKB1,0.18698442924395986,0.015169677878220053
TRIM25,0.17575508960034947,0.0036161888922561273
IFNGR2,0.17218947544703433,0.011217093266700581
TLR3,0.171308899251628,0.10488207068560923
IKBKB,0.16550660473391643,0.002613979880845822
IFNAR1,0.16129038340794072,0.024638471093706177
TBK1,0.16116146653988017,0.013461851331114227
IFI16,0.15747799960981235,0.11669454357554898
MAP3K7,0.14543012759875568,0.029393749558729743
STAT1,0.13823083094875188,0.014989058074808038
TRIM4,0.12751001724419497,0.05073785108832305
IKBKE,0.12716147068748362,0.046649901857211414
JAK1,0.12420108100914784,0.05522679704236951
RIPK1,0.12070738588612973,0.0553609964144767
IFNGR1,0.10855479976874005,0.11519844356099454
POLR3F,0.10545869518332263,0.1670172990930545
TRAM1,0.09615842838982191,0.08048256801029033
RIGI,0.09422938093792355,0.15197266939924725
POLR3A,0.09419807312669487,0.18383335761737965
JAK2,0.08702842952035339,0.11812157469013751
TRAF6,0.08430436325592838,0.13269549991886795
CHUK,0.08306248993378307,0.2274549505168686
DHX58,0.08250753918303877,0.21857140492674945
IFNAR2,0.08029421980389817,0.3076822482359472
IRF7,0.07874144864873012,0.29091366385693596
TLR4,0.07691116343774221,0.43566230386158433
IFIH1,0.07392345345097329,0.26546729973767125
TICAM1,0.07213674610624599,0.10599452465409531
IFNB1,0.0437620132779831,0.5336562905909794
TLR8,0.03996860087404297,0.4946502745550455
MAVS,0.03473757295480295,0.6040399076271191
STAT2,0.03403978257924156,0.6837171128038699
TLR7,-0.0752408570324803,0.23007166347682456
TLR9,-0.07640653758782381,0.28522458133542933
ZBP1,-0.11556551767840222,0.07425470171945482
AIM2,-0.12489324334651747,0.20448974369261402
