CellLine,AIM2,CGAS,CHUK,CXCL8,DDX19A,DDX41,DHX58,FADD,IFI16,IFIH1,IFNAR1,IFNAR2,IFNB1,IFNGR1,IFNGR2,IKBKB,IKBKE,IKBKG,IRF3,IRF7,JAK1,JAK2,MAP3K7,MAVS,NFKB1,POLR3A,POLR3C,POLR3E,POLR3F,PRKDC,RELA,RIGI,RIPK1,STAT1,STAT2,STING1,TBK1,TICAM1,TLR3,TLR4,TLR7,TLR8,TLR9,TRAF3,TRAF6,TRAM1,TRIM25,TRIM4,TYK2,ZBP1
MDST8,0.082172047,0.719495351,0.435767701,0.998434273,0.713585602,0.703122313,0.619779168,0.769207456,0.865376029,0.348390238,0.687865562,0.749759245,0,0.240936602,0.793193935,0.712464869,1,0.827424011,0.744640859,0.674423209,0.427440865,0.682601327,0.076041605,1,0.530796381,1,0.626765205,0.232767783,0.803228008,0.63921883,1,0.400795476,0.579141875,0.682330258,0.690595322,0.49846552,0.429031602,1,0.33171723,0.120966729,0,0,0,0.877576693,0.604313803,0.363949991,0.839510543,0.695432275,0.453147499,0
THP1,0.075524411,0.982946424,0.266531291,0.57274001,0.694562939,0.975598522,0.745210878,0.523701679,0.702120655,0.698505044,0.557017067,0.83935144,0.164253728,0.780557688,0.652861348,1,0.935532402,0.628039176,0.927052289,0.708784027,0.443131554,1,0.860026035,0.354210965,0.535081265,0.204155409,0.795787978,0.977302761,0.36942619,1,0.502740405,0.326384298,0.211007433,0.70688804,0.832165826,1,0.630764969,0.77179349,0,0.673757281,0.109904167,1,0.588001719,0.865414875,0.507227587,0.5830398,0.953745211,0.741321295,0.81159037,0
MDAMB468,0.061787523,0.425501823,0.602134517,0.712889088,0.619929382,0.905724009,0.81565629,0.665184627,0.508213189,0.915695697,0.838161128,0.736867127,0.267213447,1,0.527527997,0.613996713,0.897317621,0.958600272,0.953132428,0.917125775,0.687369408,0.74540229,0.751304629,0.759370198,0.46851761,0.5402843,0.976964554,0.61560181,0.750310127,0.565944768,0.891094721,0.696924979,0.792183385,0.937645219,0.60079504,0.849476953,0.535182409,0.898114538,0.705145736,0.040550624,0.303415649,0,0.047900482,0.394439575,0.813899182,0.662121835,0.760445048,0.88858085,1,0.026398771
A549,0.008400855,0.802238307,0.774603477,0.526189754,0.704877629,0.482522548,0.181086067,0.4740333,0.363009512,0.294731463,0.63327514,0.668182786,0,0.64965181,0.417288899,0.479099241,0.668640018,0.533699918,0.569180414,0.299180603,1,0.671772439,0.402225446,0.5448925,0.520766231,0.517943956,0.596159895,0.600308502,0.912824341,0.802382383,0.517154284,0.520018169,0.495697042,0.960228924,0.090756824,0.18080779,0.973715924,0.631967842,0.143361036,0,0,0,0,0.736491857,0.493607938,1,0.545865472,0.648644383,0.054180561,0
OVISE,0.039988031,0.304914837,0.299559152,0.118100055,0.689302799,0.730997021,0.650315348,0.570499612,0.068186234,0.771878079,0.621591463,0.162303757,0.110868274,0.575727164,0.366365244,0.644733437,0.53407386,0.406517402,1,0.616550261,0.617493901,0.423126854,0.420249294,0.733920474,0.191289414,0.36964902,0.423792052,0.590732923,0.407482124,0.568937742,0.57932088,0.756931139,0.599213237,0.94566695,0.856994728,0.43861254,0.393324263,0.82383558,0.948740564,0.008519047,0.010411498,0,0.331260553,0.643345059,0.427476425,0.824902911,0.909909756,0.26710894,0.599466231,0.174575463
A375,0.90982603,0.00947118,0.822020859,0.741490885,0.976204561,0.636804248,0.746664697,0.579548472,0.906620936,0.375138423,0.578066092,0.425496347,0,0.406102092,0.715249225,0.469803536,0.724755694,0.676297666,0.597884157,0.581553494,0.382461295,0.62304746,0.572563598,0.749328848,0.861967799,0.716716956,0.858001468,0.984039744,0.904065064,0.842809358,0.630090386,0.158530628,0.584146381,0.577623443,0.525111169,0.783356625,0.878705936,0.842070837,0.686869833,1,0,0,0.074013452,0.56572999,0.372228839,0.588868605,0.878467769,0.691037029,0.663478947,0.050930715
NUGC3,0.393737474,0.982946424,0.572566129,0.937139038,0.512724892,0.499036945,0.66698222,0.632419427,0.792781098,0.83062079,0.353116569,0.3133026,0.164253728,0.99566604,0.814690965,0.491668071,0.936406189,0.477322135,0.474474215,0.869674102,0.468127146,0.756855481,0.667219941,0.361667819,0.679404954,0.26743435,0.398902371,0.57539231,0.983189952,0.636948727,0.667580373,0.733261797,0.435292362,0.803808031,0.30677957,0.645599691,0.795853085,0.735306765,0.39880165,0.405468027,0.049558683,0,0.010063137,0.586210764,0.489474169,0.709994048,0.649262611,0.428531516,0.315107015,0.19545057
HS294T,0.766176994,0.67326246,0.627265462,0.891210973,0.837017906,0.61055976,0.825226039,0.569951763,0.98183935,0.725133499,0.878459582,0.845507858,0,0.526753389,1,0.568213696,0.796286247,0.828565335,0.823364496,0.819962146,0.44145412,0.594709735,0.482185251,0.539929671,0.9301259,0.477964183,0.558759204,0.586531794,0.492227781,0.469830931,0.695866452,0.59250521,0.890325608,0.768041691,0.99572678,0.770199074,0.87186437,0.944952155,0.747227813,0.557973505,0.374068115,0,0.090468465,0.617988968,0.339702028,0.574519281,0.672308611,1,0.655050335,0.115359339
SKUT1,0.075524411,0.852282426,0.74584963,0.716791296,0.86813812,1,0.737259923,0.612338532,0.848526481,0.904233621,0.566199308,0.598093459,0.164253728,0.581953865,0.670614195,0.597241145,0.764183699,0.400240264,0.784260794,0.780381552,0.814695596,0.796173271,0.623607346,0.646311287,0.727661688,0.76692945,0.670922451,0.819835287,0.833118763,,0.852736483,0.692624378,0.719575782,0.736858891,0.715663341,0.42768518,0.816964616,0.928264649,0.549334281,0.008519047,0.010411498,0,0.038782895,0.987380067,0.585636639,0.547233876,0.964824378,0.687329419,0.714321815,0
NCIH2170,0,0.789103475,0.704376531,0.910815008,0.821799034,0.55337102,0.478080596,0.433278178,0.447338107,0.691218898,0.340439473,0.016544734,0.504679475,0.537826604,0.411946497,0.595058323,0.660979978,0.907220881,0.78342635,0.730620279,0.347352706,0.591364054,0.487099596,0.752613283,0.607057698,0.413091796,0.684125288,0.94727675,0.879289706,0.807492306,0.402365803,0.27302594,0.624830913,0.734790268,0,0.578926549,0.562461884,0.708623113,0.768842189,0.016824669,0,0.174548076,0.019874164,0.449530389,0.442543187,0.471282496,0.769938824,0.656090546,0.280762392,0.134306552
