Gene,MeanDiff,PValue
POLR3C,5.2600436084088395e-15,0.9999999999999867
IRF3,4.452959740072639e-15,0.9999999999999887
MAVS,4.26132559190908e-15,0.9999999999999892
MAP3K7,3.740727534492457e-15,0.9999999999999905
TRIM25,3.574918139293004e-15,0.9999999999999909
JAK1,3.2008212505606142e-15,0.9999999999999919
STAT2,2.8935790961371743e-15,0.9999999999999927
TRIM4,2.1172073756017455e-15,0.9999999999999947
RELA,1.5214882493993449e-15,0.9999999999999962
IFNAR1,1.515695781444779e-15,0.9999999999999962
TICAM1,1.0660554564715905e-15,0.9999999999999973
IRF7,7.72691089855965e-16,0.999999999999998
TBK1,4.2122102907109876e-16,0.9999999999999989
IKBKE,1.535004007959999e-16,0.9999999999999996
TLR4,1.4770793284143386e-16,0.9999999999999996
IFNB1,1.3370946861789928e-16,0.9999999999999997
TLR7,1.231502822423883e-16,0.9999999999999997
TLR9,3.8616453030440226e-17,0.9999999999999999
ZBP1,2.7272869952748413e-17,1.0
TLR8,-6.275173617446536e-17,0.9999999999999998
AIM2,-1.1633206475420118e-16,0.9999999999999998
CHUK,-1.9658188120808485e-16,0.9999999999999996
RIGI,-2.2156189926215078e-16,0.9999999999999994
IFI16,-2.398142071398198e-16,0.9999999999999993
DHX58,-2.5124829752930175e-16,0.9999999999999993
TLR3,-2.558340013266665e-16,0.9999999999999993
IFNAR2,-2.983120996601508e-16,0.9999999999999992
JAK2,-3.0651809592911934e-16,0.9999999999999992
TRAF3,-3.596157188459746e-16,0.9999999999999991
CGAS,-4.397448588841381e-16,0.9999999999999989
CXCL8,-5.454573990549682e-16,0.9999999999999987
STING1,-5.903490257028549e-16,0.9999999999999984
IFNGR1,-5.944520238373392e-16,0.9999999999999984
RIPK1,-5.946933766687795e-16,0.9999999999999984
TYK2,-8.20720303312575e-16,0.999999999999998
IFIH1,-8.277195354243422e-16,0.9999999999999979
POLR3E,-8.601814912530563e-16,0.9999999999999978
POLR3F,-8.635604308932197e-16,0.9999999999999978
TRAF6,-1.3911350935936616e-15,0.9999999999999964
POLR3A,-1.4309809376092508e-15,0.9999999999999964
IKBKB,-1.5340385966342378e-15,0.9999999999999961
IKBKG,-1.8466508515572236e-15,0.9999999999999953
IFNGR2,-1.988143948989071e-15,0.9999999999999949
NFKB1,-2.3311063224656684e-15,0.9999999999999941
PRKDC,-2.54743316388396e-15,
STAT1,-2.92797187461741e-15,0.9999999999999926
FADD,-3.675562270003589e-15,0.9999999999999907
DDX19A,-4.077776763598767e-15,0.9999999999999897
TRAM1,-5.1571066257995726e-15,0.9999999999999869
DDX41,-8.712354509330196e-15,0.999999999999978
