,Gene,FoldChange,p-value
11639,RP11-71H9.1,5208.047676199956,0.3625223772947825
11643,SLITRK3,1890.2319768715217,0.36321259401823835
14389,RP11-781M16.2,1540.389437973401,0.36233431265358873
14440,RP11-366M4.3,883.3023631769739,0.3635614742957537
6531,AC084193.1,761.5425524346169,0.3637950096434022
14386,RXFP1,684.047473217539,0.36360308915090134
8306,AC018799.1,401.6403822924083,0.36431356806005244
4087,RP11-463J7.2,241.0079212643895,0.36504511689029484
9220,CNTN6,157.32706760546674,0.3606814344344224
13961,RP11-381N20.2,156.68461638390843,0.36427260360369157
7924,SCN7A,138.9451912926969,0.36196191489898066
1066,RP5-1007G16.1,125.55739766750513,0.36673916117840927
2587,RP4-663N10.2,118.70292047973727,0.36032817439153597
10975,GS1-388B5.1,115.31331086209386,0.36705419209410456
1065,HMGB4,106.44926278828828,0.3588104944011059
14725,RP11-217E13.1,105.28842879464781,0.36031312877070976
14413,RP11-234O6.2,103.23297243254376,0.367499036431528
11586,IQCJ,102.22692016587922,0.3631274507944909
5798,AC073218.2,98.83107600122645,0.19770873563440194
4083,BRINP3,97.89497997746916,0.3646534634472035
12055,CLDN16,90.43493377939716,0.36629384159910117
15237,SLC45A2,82.27494103612052,0.339874997757086
14240,RP11-526A4.1,82.23445151796604,0.3607260186910726
8775,PTPRN,78.54550061203544,0.28694683784042413
1920,RP11-510C10.3,75.19009652060213,0.21244128850133528
5307,AC073143.1,70.10935235041002,0.3695562849939804
14722,RP11-11N5.1,64.83941900731068,0.3697834879910665
4076,LINC01035,62.87824721110631,0.37028305538667994
13127,TECRL,61.27733507158035,0.3704816844262808
7085,ST6GAL2,60.40736046910449,0.25082405191449775
10719,DPPA2,59.42885100831815,0.3611827625028064
14723,RP11-11N5.3,58.308604954325816,0.3697285346407043
13129,RP11-204H9.2,57.66952558411428,0.35665912406588957
7335,AC018866.1,55.278614131661904,0.37126116216911403
15152,CTD-2533K21.4,54.95827354106874,0.3713062267775801
3113,LCE3D,54.65782603769318,0.23678799772265607
1064,HSPD1P14,54.04175314525842,0.37146886719540295
7021,AC073987.1,52.503914747898364,0.11767040453148897
9920,PTH1R,50.648934150015556,0.3610674848361429
15183,RP11-152K4.1,50.133429066535314,0.23544796184762956
7597,AC011893.3,49.94213904826653,0.37050770572825903
15229,RP11-113I22.1,47.18020183010453,0.37265401109235446
4074,RP11-316I3.1,46.626470274103184,0.19410434721398478
10760,RP11-231E6.1,44.31546270745878,0.3732734828962663
3114,LCE3C,43.098181903819885,0.37356528218309065
2142,BRDT,41.198890240353705,0.3735969589439441
3866,ASTN1,40.945345686064776,0.36858683772612244
8500,CTLA4,39.55876824470555,0.3743206656401844
2674,HSD3BP3,39.41681340606921,0.3631879270883225
5801,AC012593.1,39.40706651686688,0.18780773407631163
14938,RP11-143A12.3,38.775222033574096,0.3649758536239326
7281,MTND1P28,37.88598262879451,0.37501985269260635
15154,CDH9,37.82291148458171,0.37258828606402394
3164,S100A7A,36.86272338357069,0.3709307407024359
10759,CD200,36.583082778719714,0.3056532621049636
12053,NMNAT1P3,34.14147062105503,0.30909759473021103
7615,AC069394.1,32.04866862020639,0.358819475846076
4991,RP11-177F15.1,31.82459392312684,0.34270239814031334
12900,GABRG1,31.209400671350394,0.3755325097485793
11638,RP11-71H9.2,30.946429323439453,0.3777190629375388
9406,WNT7A,30.928662144429484,0.37581864743073695
3510,RP11-312J18.6,29.03859227632686,0.22608276595185417
6035,AC007682.1,28.77963762658336,0.3729144313653793
5638,KCNK3,28.30266106633054,0.2259949157781778
13234,SULT1B1,28.03638347316876,0.3765811154169242
4371,C1orf186,27.463056694804138,0.2557936323097573
11640,SI,27.133350862192803,0.3758297567848839
13913,RP11-700N1.1,26.67551223063221,0.36329109049971714
15142,RP11-192H6.2,25.995003071016317,0.38054208309656573
3112,LCE3E,25.8870791042728,0.35252483853780303
6815,AC073464.11,25.709518998174104,0.3808462783264969
4085,RP11-547I7.2,25.217640392995733,0.35051157516571196
11145,CPNE4,25.19098989560749,0.3153542049540817
5968,TMEM247,25.09095845284825,0.36846302306478534
10484,LINC00971,24.963135634376133,0.36929759060004486
14724,MRPS36P2,24.90098266929472,0.38130651387252007
11984,RP11-48F14.2,24.766367149970254,0.3600906523975965
10710,GUCA1C,24.53759010246287,0.27610841615249904
11645,BCHE,24.158040231535946,0.28720706504254506
11990,RP11-134F2.2,24.15192758208237,0.23626368632987468
3150,SPRR2G,24.125534071593886,0.3818469601690222
14415,RP11-497K21.1,24.101410418400157,0.38206133829711253
3163,AL591704.7,23.62885017697906,0.3353800470208931
7282,MTND2P21,22.598927543015293,0.383168023764262
6311,GKN2,22.249212422540136,0.37578834959591095
16687,FBXL21,21.149745641398592,0.24372818304973612
3119,LCE2D,21.023028625778906,0.3847724202779372
5383,CYS1,21.016774065798963,0.37900447703965046
13327,RP11-542G1.1,20.139662747892174,0.18481456602982782
8904,DNER,20.073992292190304,0.31040187400802616
9143,AC110619.2,19.738282589412915,0.376109619851581
15440,KATNBL1P4,19.57584205452359,0.2429923454902631
13952,RP11-170N16.1,19.17791657704695,0.3869060353529924
14047,RP11-400D2.3,19.146402744591185,0.386994919425922
11498,RP11-217E22.5,18.96433817942354,0.38710192323882925
13949,IL21-AS1,18.748665080653147,0.3668748037800795
14239,RP11-24I21.1,18.65702164897462,0.2900859952029339
14733,RP11-565A3.2,18.557555508151182,0.1997340401139496
9599,RPS12P5,18.50563637360657,0.12927405673868902
10354,RP11-231I13.2,18.378117383127126,0.38818408370894714
7235,PAX8,18.1934626594618,0.27755899689354524
14035,RP11-404I7.2,18.18717888693879,0.30482680592732603
13152,RPS23P3,17.685674727445758,0.2638778006876235
16150,LIX1,17.62905456387835,0.3887541412626694
2086,RP11-76N22.1,17.318115038697435,0.389782079850831
14241,RP11-707F2.1,17.016669488113106,0.39027451758231085
7197,AC104651.3,16.941522384133716,0.2782333933823005
1918,RP11-510C10.2,16.91923626055589,0.283468381653015
11133,RP11-265F19.1,16.866250133875887,0.374127616805274
5241,AC079779.6,16.769173366074796,0.3769103062442637
206,AJAP1,16.71235829734686,0.2434196290600723
7020,AC108051.3,16.66964601323032,0.39086447557614945
16037,CTD-2316B1.2,16.527697886914208,0.2978344387191516
5724,AC105398.3,16.468477305808328,0.3596165038843841
13976,NUPL1P1,16.35259110550594,0.39113015534605194
6283,AC023115.1,16.196836843399165,0.24975449871148656
398,AADACL4,16.160345215240664,0.39135077147396374
5044,RP11-561I11.4,15.787876517308558,0.13810728762384594
12687,SLC34A2,15.677537301935116,0.39218681496016544
10089,ST13P14,15.64232698060227,0.27106891711062264
9103,AC113618.1,15.47356035544177,0.393110685197034
14060,RNU1-89P,15.473527858010252,0.39311075117602945
10479,RPL7AP23,15.425785698894945,0.39320799627383385
16384,CTD-3179P9.1,15.332415836377542,0.3909003610007653
2634,VTCN1,15.319797897956494,0.3923363840991819
7463,AC068137.11,15.293677145106846,0.24955085470830268
10758,RP11-90K6.1,15.178450893852162,0.36154112422736745
5243,AC105393.2,15.076245759483944,0.39361199240834066
14001,RP11-184M15.1,15.044856530114286,0.12032105419927488
16422,AC008565.1,15.030155871608587,0.3937649112551111
10485,RP11-651J20.1,15.017025924775247,0.39406718210629005
4039,GS1-204I12.1,14.961730478079152,0.3938660379080996
7086,ST6GAL2-IT1,14.960978347224192,0.20398545747524421
8296,AC013401.2,14.945102132565832,0.22001345528682217
11469,AADACL2,14.83642470580832,0.394082797308247
