,Gene,log2FC,p-value
13533,SPP1,5.115355050628969,0.008240269192401237
10878,FSTL1,3.084807919727621,0.0028473728054561553
13080,IGFBP7,3.0711878888219686,0.02323263764022672
15987,VCAN,2.986720945382406,0.01771858068834444
8511,NRP2,2.3360804766990944,0.019708273423572138
4214,PHLDA3,2.3221049291513114,0.00013453925878800384
15037,BASP1,2.3216404176215546,0.10221293466088385
3391,KIRREL,2.3176470949767407,0.006119785845055945
5811,CRIM1,2.211997805235758,0.00019451613547079953
6313,ANTXR1,2.134477447375826,0.028103066422147677
6101,EFEMP1,2.1185734382840766,0.06888159350949592
13953,FGF2,2.086240607941157,0.03589403063400452
10766,CCDC80,2.050312005700449,0.07353257731985344
10596,DCBLD2,2.049599916359438,0.014856551772970841
8652,FN1,2.044617436579988,0.15173195202286024
9978,COL7A1,2.0114059864542604,0.0234031460788163
14587,VEGFC,1.953189218261843,0.035524373532072225
7654,KYNU,1.9524778187982028,0.10161292826461465
11415,WWTR1,1.9475613719399751,0.0026708264112637508
16688,TGFBI,1.9474976399675317,0.27372967016697886
2053,CYR61,1.9282600618211783,0.017605417794041574
15033,MYO10,1.8906651230394704,0.00039219422100123506
15486,GPX8,1.8752259520645032,0.0002609387626763124
5737,LBH,1.8722450313909447,0.13592535442293016
3992,LAMC1,1.8335937545055732,0.021494772126427246
8513,AC007362.1,1.8329441527715844,0.03648129700614197
9977,UCN2,1.8242753710154114,0.007720270093905318
11645,BCHE,1.801187718987316,0.13918996650392393
2462,SLC16A4,1.7993989319926444,0.10458123902934273
10348,MITF,1.7749168591436928,0.0028484824521339425
13774,CFI,1.769274772152291,0.19976431080116713
2002,LPHN2,1.7607531436018302,0.05394814188929009
4134,CFH,1.7016901723771336,0.06827483542786279
2721,SNX18P16,1.6848330293008156,0.07756973388651033
11189,AMOTL2,1.676383482502779,0.01610420655134894
11362,PLOD2,1.6539946055484984,0.10129040693024317
9142,GPC1,1.651973476943701,0.009398445008798904
8861,DOCK10,1.6446163426933493,0.07197436307259285
16532,FBN2,1.6328325555747059,0.09810647882339053
7562,LYPD1,1.6317253295826784,0.13157466050250646
5835,QPCT,1.6124920181437141,0.23695887895352744
8224,ITGAV,1.6029379241303303,0.007515904864302316
15554,PLK2,1.596039672309475,0.025250608812793368
15247,RAI14,1.593031201884172,0.0014587671345769795
15323,OSMR,1.5895435825345627,0.001888523730243415
9041,ARL4C,1.556136038082867,0.07464736728246417
13503,PTPN13,1.5556869934085347,0.01897748142147544
7235,PAX8,1.554368383857819,0.2022780057356591
15756,MAP1B,1.5359949976644784,0.09015553741068481
12054,CLDN1,1.5276977153819624,0.18475915249165717
13563,SNCA,1.5271602162023794,0.20934562094026407
9609,TGFBR2,1.5242190054268066,0.009211801199168446
14619,TENM3,1.5216136871453774,0.06713053942058014
12408,EVC,1.517968526576476,0.04399056043926589
14323,FGB,1.5088683244697618,0.26782631619823927
3175,S100A16,1.4921014687979524,0.07317926750638493
10738,PVRL3,1.4619309843502193,0.009085002038094769
10019,GPX1,1.4362642847510685,0.02861333704438273
1447,PDZK1IP1,1.4330389297138066,0.38390861485352296
8904,DNER,1.432970525820496,0.19040382949595475
13477,AGPAT9,1.4162892332500703,0.0026321168982366143
7336,GLI2,1.4106432705010148,0.01780688531967981
8535,ADAM23,1.401118617799718,0.00018134097836237136
1034,SYNC,1.3982073293461224,0.09301757717201925
5617,KIF3C,1.3939537162313282,0.084202667064462
5518,SDC1,1.380959817961454,0.0771410273428833
11035,MGLL,1.37978346909753,0.10769720186126726
8076,HOXD10,1.3643277060989143,0.12013698170257207
4344,NUAK2,1.3602549733534217,0.0638104577298471
7735,RND3,1.354495865967432,0.0018313341348156476
1840,GNG12,1.332275729418734,0.010367134487161091
6158,AC016747.3,1.3310601680935357,0.00012941658945440015
8096,AC017048.3,1.3172242880691083,0.11405811908852735
10844,UPK1B,1.3053148909853727,0.3347343703146155
12249,ZNF595,1.2997836152179312,0.03886911842559067
10667,ALCAM,1.2917731895293563,0.058374043392492525
4227,SHISA4,1.2913367921424728,0.04933145565044437
10940,MYLK,1.2815426883252463,0.1277949366619153
3095,S100A11,1.274250395511186,0.03577569226094449
13294,IL8,1.2698605881363587,0.3500832703247066
11405,TM4SF18,1.264044641562965,0.2764578337547461
12912,ATP10D,1.2599548504900184,0.019835795791405517
450,PDPN,1.2576433956545745,0.2597049121166086
3204,RAB13,1.2456627092846997,0.012036723723851032
9878,TMEM158,1.2451683453979578,0.3391183064220031
